spc, pc, Si.Int.mu, Si.Int.unc, C.to.Si
qm-04963-Si-Pt4-0.35uA-5kV-HR-5mm,0.350,2466.630,10.840,0.012
qm-04963-Si-Pt4-2.35uA-5kV-HR-5mm,2.350,2435.130,4.160,0.013
